@relation spk2m

@attribute IdW numeric
@attribute TotLines numeric
@attribute PoS {NNP,VBZ,NNS,VBD,PRP,PRP$,TO,VB,JJ,IN,RB,CD,DT,NN,MD,VBN,CC,RBR,VBG,VBP,PDT,WP,JJR,RP,WRB,WDT,RBS,EX,JJS,NNPS,$}
@attribute DepId numeric
@attribute DepRel {TITLE,SBJ,ROOT,OBJ,NAME,POSTHON,NMOD,OPRD,IM,PRD,TMP,DEP,PMOD,LOC,DIR,ADV,VC,APPO,COORD,CONJ,AMOD,EXT,MNR,PRP,PRT,LGS,SUB,LOCbPRD}
@attribute Prop {P2,Foc,P3,P4,BACK,A1,A2}
@attribute Emb {yes,no}
@attribute Them {T1,R1,SP1,SP2,R1-1,R1-2}
@attribute TH2 {T1,R1,SP1}
@attribute TH3 {T1,R1}
@attribute TotSpans numeric
@attribute LocSpan {A,Z,B,C,U,D,E,F,G,H}
@attribute IntRange numeric
@attribute 'min [dB]' numeric
@attribute 'RMS [dB]' numeric
@attribute 'max [dB]' numeric
@attribute 'MinPitch (Hz)' numeric
@attribute 'MaxPitch (Hz)' numeric
@attribute PitchRange numeric
@attribute 'Speech ratio' numeric
@attribute Duration[ms] numeric
@attribute ToBI {S,L*+H,HL-,LH-,U,H*,LL-,L*,HH-}

@data
9,14,NNP,12,NMOD,?,?,SP2,?,?,4,C,17,65,72,82,100,121,21,0.131,0.392,S
10,14,NNS,10,PMOD,?,?,SP2,?,?,4,C,45,33,57,78,100,130,30,0.514,1.027,LH-
11,14,VBP,0,ROOT,?,?,R1,?,?,4,Z,16,71,84,87,117,119,3,0.169,0.169,H*
12,14,PRP$,16,NMOD,?,?,R1,?,?,4,Z,12,73,79,85,108,122,14,0.134,0.134,U
13,14,NNS,14,OBJ,?,?,R1,?,?,4,Z,26,56,72,82,95,108,13,0.238,0.476,S
14,14,RB,14,ADV,?,?,R1,?,?,4,Z,32,45,66,78,83,89,6,0.303,0.303,LL-
1,13,DT,2,NMOD,?,?,T1,?,?,3,A,17,61,71,78,113,276,164,0.148,0.148,U
2,13,NNP,3,SBJ,?,?,T1,?,?,3,A,33,51,70,84,132,279,146,0.277,0.83,L*+H
3,13,MD,14,OBJ,?,?,R1,?,?,3,Z,21,54,68,75,104,120,17,0.2,0.2,U
4,13,RB,3,ADV,?,?,R1,?,?,3,Z,17,62,72,80,90,135,45,0.154,0.463,L*+H
5,13,VB,3,VC,?,?,R1,?,?,3,Z,42,39,59,81,91,143,51,0.571,0.571,S
6,13,IN,5,ADV,?,?,R1,?,?,3,Z,25,50,69,75,102,109,7,0.126,0.126,S
7,13,DT,8,NMOD,?,?,R1,?,?,3,Z,9,66,72,75,97,102,5,0.107,0.107,U
8,13,NN,6,PMOD,?,?,R1,?,?,3,Z,29,49,69,79,91,128,37,0.162,0.485,LH-
9,13,JJ,11,NMOD,?,?,R1,?,?,3,Z,20,60,75,80,103,115,12,0.13,0.259,H*
10,13,JJ,11,NMOD,?,?,R1,?,?,3,Z,17,59,70,76,89,103,14,0.226,0.226,S
11,13,NN,5,TMP,?,?,R1,?,?,3,Z,12,60,67,73,75,95,20,0.219,0.219,LL-
12,13,PRP,14,SBJ,?,?,SP1,?,?,3,Z,3,63,64,66,75,82,7,0.115,0.115,U
13,13,VBD,0,ROOT,?,?,SP1,?,?,3,Z,21,50,63,70,67,79,12,0.37,0.37,LL-
1,8,RB,6,SBJ,?,?,T1,?,?,2,A,17,62,74,79,114,137,23,0.244,0.244,L*+H
2,8,PDT,3,NMOD,?,?,T1,?,?,2,A,26,56,75,82,125,135,10,0.274,0.274,S
3,8,DT,1,NMOD,?,?,T1,?,?,2,A,23,60,74,84,117,139,22,0.376,0.376,L*+H
4,8,WP,5,SBJ,?,?,T1,?,?,2,A,6,69,72,75,98,117,19,0.114,0.114,U
5,8,VBD,3,NMOD,?,?,T1,?,?,2,A,39,42,68,81,98,108,10,0.361,0.361,LH-
6,8,VBP,0,ROOT,?,?,R1,?,?,2,Z,31,50,68,80,79,126,47,0.225,0.451,H*
7,8,DT,8,NMOD,?,?,R1,?,?,2,Z,10,60,66,70,80,83,3,0.099,0.099,U
8,8,NNS,6,OBJ,?,?,R1,?,?,2,Z,15,56,65,72,73,83,10,0.259,0.518,LL-
1,16,VBG,9,ADV,?,?,SP1,?,?,3,A,38,45,70,83,109,156,47,0.167,0.501,H*
2,16,TO,1,PMOD,?,?,SP1,?,?,3,A,2,73,74,76,111,151,40,0.097,0.097,U
3,16,DT,4,NMOD,?,?,SP1,?,?,3,A,10,70,75,80,110,131,21,0.224,0.224,U
4,16,NNS,2,PMOD,?,?,SP1,?,?,3,A,44,37,57,81,119,161,41,0.379,1.137,LH-
5,16,DT,8,NMOD,?,?,T1,?,?,3,B,19,56,69,75,105,107,3,0.141,0.141,U
6,16,NN,8,NMOD,?,?,T1,?,?,3,B,28,54,75,82,106,141,35,0.306,0.306,L*+H
7,16,NNS,9,SBJ,?,?,T1,?,?,3,B,17,61,73,78,119,142,23,0.233,0.467,S
8,16,MD,0,ROOT,?,?,R1,?,?,3,Z,26,50,66,77,91,119,28,0.194,0.194,U
9,16,VB,9,VC,?,?,R1,?,?,3,Z,34,49,70,83,131,135,4,0.214,0.214,H*
10,16,NN,12,NMOD,?,?,R1,?,?,3,Z,23,58,73,81,93,128,35,0.152,0.457,L*
11,16,NNS,10,OBJ,?,?,R1,?,?,3,Z,39,42,67,81,87,112,26,0.35,0.7,HL-
12,16,IN,10,EXT,?,?,R1,?,?,3,Z,33,47,70,80,94,95,1,0.19,0.19,S
13,16,RBR,16,DEP,?,?,R1,?,?,3,Z,11,70,77,81,94,112,18,0.253,0.253,L*
14,16,IN,16,DEP,?,?,R1,?,?,3,Z,4,72,74,76,91,109,17,0.141,0.141,U
15,16,DT,17,NMOD,?,?,R1,?,?,3,Z,11,61,68,72,89,91,3,0.054,0.054,U
16,16,JJ,13,PMOD,?,?,R1,?,?,3,Z,30,45,63,75,37,95,59,0.472,0.472,LL-
1,8,DT,2,NMOD,?,?,T1,?,?,2,A,13,63,70,76,35,35,1,0.179,0.179,U
2,8,NNP,5,NMOD,?,?,T1,?,?,2,A,40,42,71,82,120,158,38,0.237,0.711,H*
3,8,NNP,5,NAME,?,?,T1,?,?,2,A,33,48,73,81,110,131,21,0.172,0.344,S
4,8,NNP,7,SBJ,?,?,T1,?,?,2,A,39,42,63,81,91,113,22,0.721,0.721,LH-
5,8,RB,7,MNR,?,?,R1,?,?,2,Z,26,56,75,82,94,139,45,0.147,0.587,H*
6,8,VBD,0,ROOT,?,?,R1,?,?,2,Z,32,46,70,78,97,113,17,0.137,0.412,S
7,8,DT,9,NMOD,?,?,R1,?,?,2,Z,16,65,74,81,87,101,14,0.271,0.271,L*
8,8,NNS,7,OBJ,?,?,R1,?,?,2,Z,24,52,63,76,71,94,23,0.226,0.677,LL-
1,18,DT,3,NMOD,?,?,T1,?,?,3,A,19,55,67,74,0,0,0,0.092,0.092,U
2,18,VBN,3,NMOD,?,?,T1,?,?,3,A,26,55,71,81,89,143,54,0.233,0.465,L*+H
3,18,NNS,5,SBJ,?,?,T1,?,?,3,A,46,34,67,80,117,126,9,0.613,0.613,LH-
4,18,RB,5,ADV,?,?,R1,?,?,3,B,16,65,74,81,123,159,37,0.171,0.341,L*+H
5,18,MD,18,OBJ,?,?,R1,?,?,3,B,4,70,72,74,101,123,22,0.115,0.115,U
6,18,VB,5,VC,?,?,R1,?,?,3,B,22,54,69,76,94,104,10,0.129,0.129,S
7,18,JJR,6,PRD,?,?,R1,?,?,3,B,29,53,70,82,130,149,19,0.2,0.401,L*+H
8,18,IN,6,ADV,?,?,R1,?,?,3,B,18,59,70,77,101,109,8,0.148,0.148,S
9,18,DT,10,NMOD,?,?,R1,?,?,3,B,8,69,72,76,86,117,30,0.143,0.143,U
10,18,NNS,8,PMOD,?,?,R1,?,?,3,B,35,45,71,80,89,127,39,0.192,0.577,HL-
11,18,RB,12,ADV,?,?,R1,?,?,3,B,38,40,62,78,126,139,13,0.354,0.354,H*
12,18,VBN,10,APPO,?,?,R1,?,?,3,B,29,53,73,82,96,126,30,0.224,0.447,S
13,18,TO,12,OPRD,?,?,R1,?,?,3,B,17,49,60,67,0,0,0,0.06,0.06,U
14,18,VB,13,IM,?,?,R1,?,?,3,B,32,48,73,80,91,101,10,0.263,0.263,S
15,18,NNS,14,OBJ,?,?,R1,?,?,3,B,29,47,61,75,86,103,17,0.263,0.525,LL-
17,18,PRP,18,SBJ,?,?,SP1,?,?,3,Z,21,46,56,67,84,88,4,0.148,0.148,U
18,18,VBD,0,ROOT,?,?,SP1,?,?,3,Z,20,50,63,70,37,84,46,0.372,0.372,LL-
1,21,NNS,2,SBJ,?,?,T1,?,?,4,A,37,43,68,79,140,171,31,0.187,0.56,L*+H
2,21,MD,0,ROOT,?,?,R1,?,?,4,B,11,65,72,77,111,118,8,0.08,0.08,U
3,21,VB,2,VC,?,?,R1,?,?,4,B,18,61,73,79,100,117,17,0.161,0.161,S
4,21,VBN,3,VC,?,?,R1,?,?,4,B,37,45,71,82,93,137,44,0.25,0.499,L*+H
5,21,TO,4,OPRD,?,?,R1,?,?,4,B,30,44,62,74,0,0,0,0.146,0.146,U
6,21,VB,5,IM,?,?,R1,?,?,4,B,40,40,68,80,110,129,19,0.257,0.514,LH-
7,21,IN,6,LOC,?,?,R1,?,?,4,B,28,45,67,72,91,104,13,0.155,0.155,U
8,21,JJ,10,NMOD,?,?,R1,?,?,4,B,27,50,72,77,102,125,23,0.19,0.38,L*+H
9,21,NN,10,NMOD,?,?,R1,?,?,4,B,29,52,68,81,85,124,39,0.166,0.332,S
10,21,NNS,7,PMOD,?,?,R1,?,?,4,B,41,36,64,76,49,109,60,0.383,0.766,LL-
11,21,DT,12,NMOD,?,?,R1,?,?,4,B,6,66,69,72,94,107,13,0.115,0.115,U
12,21,NNS,6,OBJ,?,?,R1,?,?,4,B,9,68,74,77,95,116,21,0.326,0.326,L*+H
13,21,IN,12,NMOD,?,?,R1,?,?,4,B,11,63,68,74,100,103,3,0.115,0.115,U
14,21,NNS,13,PMOD,?,?,R1,?,?,4,B,33,48,70,81,89,120,30,0.229,0.687,HL-
15,21,WP,16,SBJ,P2,yes,T1,?,?,4,C,13,60,68,73,98,116,18,0.133,0.133,U
16,21,VBP,14,NMOD,P2,yes,R1,?,?,4,Z,27,53,71,80,98,119,21,0.356,0.356,H*
17,21,TO,16,OPRD,P2,yes,R1,?,?,4,Z,13,58,66,71,91,111,20,0.115,0.115,U
18,21,VB,17,IM,P2,yes,R1,?,?,4,Z,28,51,74,80,93,101,7,0.283,0.283,S
