@relation spk1f

@attribute IdW numeric
@attribute TotLines numeric
@attribute PoS {NNP,VBZ,NNS,VBD,PRP,PRP$,TO,VB,JJ,IN,RB,CD,DT,NN,MD,VBN,CC,RBR,VBG,VBP,PDT,WP,JJR,RP,WRB,WDT,RBS,EX,JJS,NNPS,$}
@attribute DepId numeric
@attribute DepRel {TITLE,SBJ,ROOT,OBJ,NAME,POSTHON,NMOD,OPRD,IM,PRD,TMP,DEP,PMOD,LOC,DIR,ADV,VC,APPO,COORD,CONJ,AMOD,EXT,MNR,PRP,PRT,LGS,SUB,LOCbPRD}
@attribute Prop {P2,Foc,P3,P4,BACK,A1,A2}
@attribute Emb {yes,no}
@attribute Them {T1,R1,SP1,SP2,R1-1,R1-2}
@attribute TH2 {T1,R1,SP1}
@attribute TH3 {T1,R1}
@attribute TotSpans numeric
@attribute LocSpan {A,Z,B,C,U,D,E,F,G,H}
@attribute IntRange numeric
@attribute 'min [dB]' numeric
@attribute 'RMS [dB]' numeric
@attribute 'max [dB]' numeric
@attribute 'MinPitch (Hz)' numeric
@attribute 'MaxPitch (Hz)' numeric
@attribute PitchRange numeric
@attribute 'Speech ratio' numeric
@attribute Duration[ms] numeric
@attribute ToBI {S,L*+H,LL-,LH-,U,H*,L*,HL-,HH-}

@data
1,18,DT,3,NMOD,?,?,T1,?,?,3,A,17,58,68,75,218,228,10,0.087,0.087,U
2,18,VBN,3,NMOD,?,?,T1,?,?,3,A,25,54,71,79,217,254,37,0.225,0.45,L*+H
3,18,NNS,5,SBJ,?,?,T1,?,?,3,A,20,58,72,78,199,231,32,0.483,0.483,LL-
4,18,RB,5,ADV,?,?,R1,?,?,3,B,5,73,76,77,194,211,17,0.063,0.126,H*
5,18,MD,18,OBJ,?,?,R1,?,?,3,B,11,66,73,78,196,244,49,0.285,0.285,U
6,18,VB,5,VC,?,?,R1,?,?,3,B,17,59,71,76,221,226,6,0.12,0.12,S
7,18,JJR,6,PRD,?,?,R1,?,?,3,B,19,60,70,79,190,201,12,0.158,0.316,L*+H
8,18,IN,6,ADV,?,?,R1,?,?,3,B,7,72,77,79,188,190,2,0.084,0.084,S
9,18,DT,10,NMOD,?,?,R1,?,?,3,B,1,71,72,72,187,191,3,0.095,0.095,U
10,18,NNS,8,PMOD,?,?,R1,?,?,3,B,14,64,72,78,181,204,24,0.166,0.497,LH-
11,18,RB,12,ADV,?,?,R1,?,?,3,B,12,65,73,77,193,218,25,0.257,0.257,H*
12,18,VBN,10,APPO,?,?,R1,?,?,3,B,19,59,71,78,183,222,39,0.15,0.299,S
13,18,TO,12,OPRD,?,?,R1,?,?,3,B,5,65,68,70,193,200,7,0.056,0.056,U
14,18,VB,13,IM,?,?,R1,?,?,3,B,21,58,73,79,179,196,17,0.24,0.24,S
15,18,NNS,14,OBJ,?,?,R1,?,?,3,B,29,48,64,78,177,246,69,0.272,0.544,LH-
17,18,PRP,18,SBJ,?,?,SP1,?,?,3,Z,27,42,57,69,180,183,4,0.152,0.152,U
18,18,VBD,0,ROOT,?,?,SP1,?,?,3,Z,25,48,65,73,203,208,4,0.367,0.367,LL-
1,21,NNS,2,SBJ,?,?,T1,?,?,4,A,35,45,71,80,224,266,42,0.177,0.531,L*+H
2,21,MD,0,ROOT,?,?,R1,?,?,4,B,13,65,73,78,206,254,48,0.145,0.145,U
3,21,VB,2,VC,?,?,R1,?,?,4,B,13,64,72,77,231,259,28,0.132,0.132,S
4,21,VBN,3,VC,?,?,R1,?,?,4,B,20,59,72,79,195,276,81,0.183,0.367,S
5,21,TO,4,OPRD,?,?,R1,?,?,4,B,19,51,60,69,213,221,8,0.159,0.159,U
6,21,VB,5,IM,?,?,R1,?,?,4,B,19,59,70,78,189,217,28,0.192,0.384,LL-
7,21,IN,6,LOC,?,?,R1,?,?,4,B,4,68,69,72,187,197,10,0.09,0.09,U
8,21,JJ,10,NMOD,?,?,R1,?,?,4,B,23,54,72,77,196,218,22,0.163,0.325,L*+H
9,21,NN,10,NMOD,?,?,R1,?,?,4,B,30,51,69,82,200,228,28,0.173,0.346,S
10,21,NNS,7,PMOD,?,?,R1,?,?,4,B,32,45,59,77,171,222,51,0.487,0.973,LL-
11,21,DT,12,NMOD,?,?,R1,?,?,4,B,8,67,74,76,206,217,11,0.093,0.093,U
12,21,NNS,6,OBJ,?,?,R1,?,?,4,B,10,69,75,79,208,234,26,0.215,0.215,L*+H
13,21,IN,12,NMOD,?,?,R1,?,?,4,B,10,68,73,78,205,231,25,0.1,0.1,U
