@relation spk4m

@attribute IdW numeric
@attribute TotLines numeric
@attribute PoS {NNP,VBZ,NNS,VBD,PRP,PRP$,TO,VB,JJ,IN,RB,CD,DT,NN,MD,VBN,CC,RBR,VBG,VBP,PDT,WP,JJR,RP,WRB,WDT,RBS,EX,JJS,NNPS,$}
@attribute DepId numeric
@attribute DepRel {TITLE,SBJ,ROOT,OBJ,NAME,POSTHON,NMOD,OPRD,IM,PRD,TMP,DEP,PMOD,LOC,DIR,ADV,VC,APPO,COORD,CONJ,AMOD,EXT,MNR,PRP,PRT,LGS,SUB,LOCbPRD}
@attribute Prop {P2,Foc,P3,P4,BACK,A1,A2}
@attribute Emb {yes,no}
@attribute Them {T1,R1,SP1,SP2,R1-1,R1-2}
@attribute TH2 {T1,R1,SP1}
@attribute TH3 {T1,R1}
@attribute TotSpans numeric
@attribute LocSpan {A,Z,B,C,U,D,E,F,G,H}
@attribute IntRange numeric
@attribute 'min [dB]' numeric
@attribute 'RMS [dB]' numeric
@attribute 'max [dB]' numeric
@attribute 'MinPitch (Hz)' numeric
@attribute 'MaxPitch (Hz)' numeric
@attribute PitchRange numeric
@attribute 'Speech ratio' numeric
@attribute Duration[ms] numeric
@attribute ToBI {S,L*+H,LL-,HL-,U,H*,L*,LH-,HH-}

@data
9,13,JJ,11,NMOD,?,?,R1,?,?,3,Z,17,58,72,75,100,110,10,0.178,0.357,H*
10,13,JJ,11,NMOD,?,?,R1,?,?,3,Z,16,56,66,72,96,100,4,0.26,0.26,S
11,13,NN,5,TMP,?,?,R1,?,?,3,Z,33,39,60,73,87,93,7,0.384,0.384,LL-
12,13,PRP,14,SBJ,?,?,SP1,?,?,3,Z,25,40,56,65,0,0,0,0.159,0.159,U
13,13,VBD,0,ROOT,?,?,SP1,?,?,3,Z,20,47,61,67,50,55,6,0.295,0.295,LL-
1,8,RB,6,SBJ,?,?,T1,?,?,2,A,18,63,75,81,116,124,7,0.209,0.209,S
2,8,PDT,3,NMOD,?,?,T1,?,?,2,A,15,66,75,81,136,161,25,0.302,0.302,L*+H
3,8,DT,1,NMOD,?,?,T1,?,?,2,A,16,62,73,78,136,153,17,0.314,0.314,S
4,8,WP,5,SBJ,?,?,T1,?,?,2,A,3,72,74,75,122,142,20,0.079,0.079,U
5,8,VBD,3,NMOD,?,?,T1,?,?,2,A,26,52,72,77,107,239,132,0.302,0.302,HL-
6,8,VBP,0,ROOT,?,?,R1,?,?,2,Z,27,48,66,75,97,122,25,0.23,0.46,H*
7,8,DT,8,NMOD,?,?,R1,?,?,2,Z,17,54,64,71,96,99,3,0.116,0.116,U
8,8,NNS,6,OBJ,?,?,R1,?,?,2,Z,23,50,61,73,0,0,0,0.345,0.69,LL-
1,16,VBG,9,ADV,?,?,SP1,?,?,3,A,28,51,70,79,108,166,57,0.123,0.37,L*+H
2,16,TO,1,PMOD,?,?,SP1,?,?,3,A,4,64,66,68,144,148,4,0.095,0.095,U
3,16,DT,4,NMOD,?,?,SP1,?,?,3,A,12,64,71,77,104,144,40,0.279,0.279,H*
4,16,NNS,2,PMOD,?,?,SP1,?,?,3,A,29,44,65,73,86,104,18,0.216,0.648,LL-
5,16,DT,8,NMOD,?,?,T1,?,?,3,B,6,63,67,69,112,113,1,0.082,0.082,U
6,16,NN,8,NMOD,?,?,T1,?,?,3,B,12,63,71,75,113,156,43,0.207,0.207,L*+H
7,16,NNS,9,SBJ,?,?,T1,?,?,3,B,18,57,67,75,112,145,33,0.185,0.37,S
8,16,MD,0,ROOT,?,?,R1,?,?,3,Z,17,53,62,70,102,113,11,0.164,0.164,U
9,16,VB,9,VC,?,?,R1,?,?,3,Z,27,49,67,75,102,263,160,0.246,0.246,S
10,16,NN,12,NMOD,?,?,R1,?,?,3,Z,30,47,68,77,113,131,19,0.167,0.5,H*
11,16,NNS,10,OBJ,?,?,R1,?,?,3,Z,25,52,68,77,95,283,188,0.237,0.474,LL-
12,16,IN,10,EXT,?,?,R1,?,?,3,Z,3,71,72,74,93,97,4,0.129,0.129,S
13,16,RBR,16,DEP,?,?,R1,?,?,3,Z,14,59,70,74,97,106,9,0.211,0.211,L*
14,16,IN,16,DEP,?,?,R1,?,?,3,Z,10,61,68,71,94,103,9,0.121,0.121,U
15,16,DT,17,NMOD,?,?,R1,?,?,3,Z,6,64,67,70,92,94,2,0.06,0.06,U
16,16,JJ,13,PMOD,?,?,R1,?,?,3,Z,23,50,62,73,72,264,192,0.463,0.463,LL-
1,8,DT,2,NMOD,?,?,T1,?,?,2,A,19,59,70,78,214,214,0,0.162,0.162,U
2,8,NNP,5,NMOD,?,?,T1,?,?,2,A,13,65,73,78,116,168,52,0.215,0.646,L*+H
3,8,NNP,5,NAME,?,?,T1,?,?,2,A,8,69,73,77,118,134,16,0.198,0.395,S
4,8,NNP,7,SBJ,?,?,T1,?,?,2,A,21,55,71,76,87,119,32,0.331,0.331,HL-
5,8,RB,7,MNR,?,?,R1,?,?,2,Z,22,56,70,78,104,144,40,0.149,0.595,H*
6,8,VBD,0,ROOT,?,?,R1,?,?,2,Z,24,50,67,74,96,134,39,0.17,0.51,S
