@relation spk5f

@attribute IdW numeric
@attribute TotLines numeric
@attribute PoS {NNP,VBZ,NNS,VBD,PRP,PRP$,TO,VB,JJ,IN,RB,CD,DT,NN,MD,VBN,CC,RBR,VBG,VBP,PDT,WP,JJR,RP,WRB,WDT,RBS,EX,JJS,NNPS,$}
@attribute DepId numeric
@attribute DepRel {TITLE,SBJ,ROOT,OBJ,NAME,POSTHON,NMOD,OPRD,IM,PRD,TMP,DEP,PMOD,LOC,DIR,ADV,VC,APPO,COORD,CONJ,AMOD,EXT,MNR,PRP,PRT,LGS,SUB,LOCbPRD}
@attribute Prop {P2,Foc,P3,P4,BACK,A1,A2}
@attribute Emb {yes,no}
@attribute Them {T1,R1,SP1,SP2,R1-1,R1-2}
@attribute TH2 {T1,R1,SP1}
@attribute TH3 {T1,R1}
@attribute TotSpans numeric
@attribute LocSpan {A,Z,B,C,U,D,E,F,G,H}
@attribute IntRange numeric
@attribute 'min [dB]' numeric
@attribute 'RMS [dB]' numeric
@attribute 'max [dB]' numeric
@attribute 'MinPitch (Hz)' numeric
@attribute 'MaxPitch (Hz)' numeric
@attribute PitchRange numeric
@attribute 'Speech ratio' numeric
@attribute Duration[ms] numeric
@attribute ToBI {S,L*+H,LL-,LH-,U,H*,HL-,L*,HH-}

@data
3,21,VB,2,VC,?,?,R1,?,?,4,B,16,54,65,70,235,239,4,0.125,0.125,S
4,21,VBN,3,VC,?,?,R1,?,?,4,B,24,53,67,77,213,248,35,0.234,0.469,L*
5,21,TO,4,OPRD,?,?,R1,?,?,4,B,22,49,62,71,211,232,21,0.144,0.144,U
6,21,VB,5,IM,?,?,R1,?,?,4,B,26,50,67,76,136,306,170,0.284,0.569,LH-
7,21,IN,6,LOC,?,?,R1,?,?,4,B,19,52,64,70,211,234,23,0.156,0.156,U
8,21,JJ,10,NMOD,?,?,R1,?,?,4,B,25,49,68,74,218,273,55,0.187,0.374,L*+H
9,21,NN,10,NMOD,?,?,R1,?,?,4,B,37,46,66,83,190,293,103,0.204,0.407,S
10,21,NNS,7,PMOD,?,?,R1,?,?,4,B,42,31,59,73,161,175,14,0.303,0.606,HL-
11,21,DT,12,NMOD,?,?,R1,?,?,4,B,33,40,63,73,219,245,26,0.137,0.137,U
12,21,NNS,6,OBJ,?,?,R1,?,?,4,B,11,64,70,75,225,259,34,0.319,0.319,L*+H
13,21,IN,12,NMOD,?,?,R1,?,?,4,B,14,61,70,76,219,248,28,0.101,0.101,U
14,21,NNS,13,PMOD,?,?,R1,?,?,4,B,17,60,69,77,137,311,174,0.214,0.643,HL-
15,21,WP,16,SBJ,P2,yes,T1,?,?,4,C,11,56,62,67,214,246,32,0.125,0.125,U
16,21,VBP,14,NMOD,P2,yes,R1,?,?,4,Z,26,50,65,76,213,270,58,0.362,0.362,L*+H
17,21,TO,16,OPRD,P2,yes,R1,?,?,4,Z,14,51,59,65,256,270,15,0.126,0.126,U
